original_title,year,acquisition_type,film_stock_or_camera_type,verification_status,source_or_basis,source_url,uncertainty_note
Nomadland (2020),2020,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Notting Hill (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Now You See Me (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Oblivion (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Oceans Eleven (2001),2001,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Okja (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Old School (2003),2003,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Once (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
One Day (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
One Hundred And One Dalmatians (1961),1961,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Only Lovers Left Alive (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Paddington (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Paranorman (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Passengers (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Past Lives (2023),2023,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Patriots Day (2016),2016,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Pay It Forward (2000),2000,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Payback (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Perfume - The Story Of A Murderer (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Phantom Thread (2017),2017,Film,"35 mm; Panavision cameras, Kodak Vision3",Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
Philadelphia (1993),1993,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Philomena (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Phone Booth (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Pi (1998),1998,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Pitch Black (2000),2000,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
"Planes, Trains  Automobiles (1987)",1987,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Planet Of The Apes (1968),1968,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Planet Terror (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Platoon (1986),1986,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Pleasantville (1998),1998,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Point Break (1991),1991,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Precious (2009),2009,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Predestination (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Pretty Woman (1990),1990,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Pride and Prejudice (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Primal Fear (1996),1996,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Prisoners (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Promising Young Woman (2020),2020,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Pulp Fiction (1994),1994,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Punch Drunk Love (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Puss In Boots The Last Wish (2022),2022,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Rambo (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Rango (2009),2009,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Ray (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Ready Player One (2018),2018,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Real Steel (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
Red (2010),2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
Red Dragon (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Remeber The Titans (2000),2000,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Remember Me (2010),2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
Requiem for a Dream DIRECTORS CUT (2000),2000,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Rescue Dawn (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Reservoir Dogs (1992),1992,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Revolutionary Road (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Rio (2011),2011,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Rio 2 (2014),2014,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Road to Predition (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
RoboCop (1987),1987,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Rock n Rolla (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Rocketman (2019),2019,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Rocky Balboa (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Rogue One (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Ronin (1998),1998,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Room (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Rounders (1998),1998,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Ruby Gillman Teenage Kraken (2023),2023,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Ruby Sparks (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Runaway Jury (2003),2003,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Running Scared (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Rush (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Rushmore (1998),1998,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Saving Mr. Banks (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Saving Private Ryan (1998),1998,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Scent of a Woman (1992),1992,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Schindlers List (1993),1993,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Scott Pilgrim vs the World (2010),2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
Se7en (1995),1995,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Searching (2018),2018,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Sense And Sensibility (1995),1995,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Serenity (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Seven Pounds (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Seven Psychopaths (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Seven Years In Tibet (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Shakespeare In Love (1998),1998,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Shame (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
Shaun Of The Dead (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Sherlock Holmes (2009),2009,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Sherlock Holmes A Game Of Shadows (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
Shrek (2001),2001,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Shrek 2 (2004),2004,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Side Effects (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Sideways (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Silence (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Silver Linings Playbook (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Sin City EXTENDED and UNRATED (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Sing (2016),2016,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Sing 2 (2021),2021,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Sing Street (2016),2016,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Skull (2022),2022,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Skyfall (2012),2012,Digital,ARRI Alexa Studio,Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
Sleepers (1996),1996,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Slumdog Millionaire (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Snatch (2000),2000,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Snowden (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Soul (2020),2020,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Sound Of Metal (2019),2019,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Source Code (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
South Park Bigger Longer and Uncut (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Southpaw (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Speed (1994),1994,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Spider Man 2 (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Spider-Man Across The Spider-Verse (2023),2023,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Spider-Man Into The Spider-Verse (2018),2018,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Spider-Man No Way Home (2021),2021,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Spirited Away (2001),2001,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Spotlight (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Spy (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Spy Game (2001),2001,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
St. Vincent (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Star Trek (2009),2009,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Star Trek Beyond (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Star Trek First Contact (1996),1996,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Star Trek II The Wrath of Khan (1982),1982,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Star Trek Into Darkness (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Star Wars Episode III - Revenge Of The Sith (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Star Wars Episode IV - A New Hope (1977),1977,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Star Wars Episode V - The Empire Strikes Back (1980),1980,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Star Wars Episode VI - Return Of The Jedi (1983),1983,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Star Wars Episode VII - The Force Awakens (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Stardust (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Starship Troopers (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
State Of Play (2009),2009,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Steve Jobs (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Still Alice (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Straight Outta Compton (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Stranger Than Fiction (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Sunshine (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Super 8 (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
Super Size Me (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Superman (1978),1978,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
T2 Trainspotting (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
TMNT (2007),2007,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Taken (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Tangled (2010),2010,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Tarzan (1999),1999,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
